transaction_id,invoice_id,customer_id,amount,payment_method,status,timestamp,gateway_reference
6001,5001,1001,2217.64,Wallet,SUCCESS,2026-04-03 19:00:00,TXN234097
6002,5001,1001,1389.09,Netbanking,SUCCESS,2026-04-07 19:00:00,TXN389410
6003,5002,1001,3620.02,Netbanking,SUCCESS,2026-05-07 22:00:00,TXN554860
6004,5003,1001,3590.76,Credit Card,SUCCESS,2026-06-07 16:00:00,TXN913143
6005,5004,1001,3601.10,Netbanking,SUCCESS,2026-07-07 18:00:00,TXN155855
6006,5005,1001,2539.28,Debit Card,SUCCESS,2026-08-10 14:00:00,TXN576666
6007,5005,1001,1190.68,Wallet,SUCCESS,2026-08-01 08:00:00,TXN359717
6008,5006,1001,2387.71,UPI,SUCCESS,2026-09-10 09:00:00,TXN963878
6009,5006,1001,1329.64,Debit Card,FAILED,2026-09-12 10:00:00,TXN806044
6010,5007,1003,1098.39,Wallet,SUCCESS,2026-04-09 11:00:00,TXN914811
6011,5008,1003,1216.37,Debit Card,FAILED,2026-05-03 11:00:00,TXN862183
6012,5009,1003,1090.15,Wallet,SUCCESS,2026-06-13 06:00:00,TXN587060
6013,5010,1003,1186.36,Wallet,SUCCESS,2026-07-15 17:00:00,TXN261949
6014,5011,1003,498.13,Credit Card,SUCCESS,2026-08-13 13:00:00,TXN860299
6015,5011,1003,568.11,Netbanking,SUCCESS,2026-08-11 12:00:00,TXN949113
6016,5012,1003,1151.76,UPI,SUCCESS,2026-09-13 17:00:00,TXN447172
6017,5013,1005,609.68,Debit Card,SUCCESS,2026-04-13 20:00:00,TXN114823
6018,5014,1005,603.86,UPI,SUCCESS,2026-05-15 09:00:00,TXN387317
6019,5015,1005,688.44,Credit Card,SUCCESS,2026-06-07 12:00:00,TXN860822
6020,5016,1005,360.19,Credit Card,SUCCESS,2026-07-03 11:00:00,TXN278092
6021,5016,1005,322.82,Netbanking,SUCCESS,2026-07-05 12:00:00,TXN909946
6022,5017,1005,624.07,Wallet,SUCCESS,2026-08-13 13:00:00,TXN692411
6023,5018,1005,706.54,Wallet,SUCCESS,2026-09-15 22:00:00,TXN585315
6024,5019,1009,3596.91,Debit Card,SUCCESS,2026-04-14 17:00:00,TXN833609
6025,5020,1009,3628.79,Credit Card,SUCCESS,2026-05-05 21:00:00,TXN366145
6026,5021,1009,3682.60,Netbanking,SUCCESS,2026-06-08 15:00:00,TXN109970
6027,5022,1009,2128.75,Debit Card,SUCCESS,2026-07-06 09:00:00,TXN522410
6028,5022,1009,1423.18,UPI,FAILED,2026-07-09 06:00:00,TXN282280
6029,5023,1009,3598.42,UPI,SUCCESS,2026-08-11 11:00:00,TXN430263
